reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment_result,sentiment_label,sentiment_score
27722653-2923-409c-844a-73cfad4e6271,Julio LH,https://play-lh.googleusercontent.com/a-/ALV-UjV85TfPiICWbudQdssqYhZ6cGalEjMsLXxwnzUX7xwGNBp_7byb,"A great resource for learning HTML or brushing up your knowledge, with brief and clear explanations and practical exercises. It would be even better if the app was updated to include more recent features and best practices.",4,0,1.4.4,2024-12-06 01:34:09,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9987412095069885}]",POSITIVE,0.9987412095069885
2660ea1f-4e38-47a1-bfbd-ba124a44bd4b,Dylan Smith,https://play-lh.googleusercontent.com/a/ACg8ocIHEMlxK9rEBcuf769tYxmz_-Cuy8ukI1dNSvKIkUZhHo79bg=mo,"It taught me tables as I casually browsed the lesson between my main lessons.. My main guide said tables were outdated but I totally disagree on that one point I find their so usfull... Thanks still browsing keep up the good work :3... CSS grid is ight I mean but to lay down a grid in mass for a board game or chess not limited to even 1px unit dice with the ""eventlistener"" as it'll call 1px... ""Tables"".. anyhow thanks can even table a 200px dice inside a table...",5,0,,2024-07-26 13:27:31,,,,"[{'label': 'POSITIVE', 'score': 0.9987868666648865}]",POSITIVE,0.9987868666648865
e0b8e27d-4d3c-422a-9aa0-0de69a089db2,Usama Abubakar,https://play-lh.googleusercontent.com/a-/ALV-UjXTIcGrRhjsdn9igDZHDQIuiy8k5Q4Sw4B7PS-3Gzqcl2RrYIfd,Thank you 🙏,5,0,1.4.4,2024-07-23 10:10:38,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9988113641738892}]",POSITIVE,0.9988113641738892
35535390-f184-4a37-b615-ec012dd81917,Gareth Andrew Wood,https://play-lh.googleusercontent.com/a/ACg8ocIPcFHyGEzRtUoanCYmFWXZ535rzXiG-j9J9KAJweuw2Q4cZg=mo,"This is excellent, really love it. Clear and easy to understand learning.",5,0,1.4.4,2024-05-21 13:27:44,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9989362359046936}]",POSITIVE,0.9989362359046936
62832b2d-0758-4aed-be67-9982503cd085,Han Sak,https://play-lh.googleusercontent.com/a-/ALV-UjW7ZFbstvgAHWGTx-IGWHy-cbrXlOKceOC_sWKfwn7jpbWM3p4,Good 👍👍👍,5,0,1.4.4,2024-02-01 17:23:39,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9985154271125793}]",POSITIVE,0.9985154271125793
b0320d58-0932-4210-b6bf-b60e176d3a58,F Twn,https://play-lh.googleusercontent.com/a-/ALV-UjXgNXEkjmDdw4lX0AmmTEanPQ0CxFe-oQJ-U6UPeZQ8rFOWHBzJ,Very nice app worth the pro premium price,4,1,,2023-09-24 04:49:04,,,,"[{'label': 'POSITIVE', 'score': 0.9988656044006348}]",POSITIVE,0.9988656044006348
f4b48f33-6eda-4f50-9773-79271597a6d6,Chris Gough,https://play-lh.googleusercontent.com/a-/ALV-UjXXDyAKIiDLAkZCwRgF4ZBhDY0OhCMIY_uwVnxj25ehdu-TvLpU,Love this app and I've now paid for 3 of them. Only reason it's not 5 stars is because often on the Try it Yourself screen and while viewing the Output the top bar blocks the view of what you should be seeing. So sometimes it opens just to see a white empty page and it shouldn't be. Change that and I'll make it 5. Besides that I really like how this app was put together. Thank you.,4,0,1.4.4,2023-09-23 14:27:08,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9988906979560852}]",POSITIVE,0.9988906979560852
ddfa7538-eafc-46ec-918f-88587c130408,Nick Prior,https://play-lh.googleusercontent.com/a/ACg8ocI1rlvkA2PsNr_7JLyJC0bcgFJKFtPoOuiqaT6xKQmYBZx1XaQ=mo,Well-designed lessons.,5,0,1.4.4,2023-09-10 10:05:27,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9988792538642883}]",POSITIVE,0.9988792538642883
67d1ccf4-747f-4768-a8f7-4babf4dea46e,muncho jr,https://play-lh.googleusercontent.com/a/ACg8ocLKYNewHLhz9f3GeNslVLQH6DnsPGGyEl6t2ixo93uT-JXjAg=mo,Perfect app really enjoyed it.,5,0,1.4.4,2023-07-28 16:32:52,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9988595247268677}]",POSITIVE,0.9988595247268677
f4e3459c-aeb8-468e-8411-547899b1ee1e,Dipti Shah,https://play-lh.googleusercontent.com/a-/ALV-UjUBzTW-AN2qbLfwig7mcWPfWbgUEdzJEm5HM2PMpdewVVNOk-LI,V nice n helpful,4,0,1.4.4,2023-07-25 04:46:52,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9987109899520874}]",POSITIVE,0.9987109899520874
829f0bf1-76ac-46bd-9c5b-0e3044041114,David,https://play-lh.googleusercontent.com/a/ACg8ocJVsdX0VaPKGnUPuip4MWTjyIvmbJBSfuQ2ydBI8ItVXDpgD4I=mo,Very useful,5,0,1.4.4,2023-07-21 15:36:54,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9981840252876282}]",POSITIVE,0.9981840252876282
bf0f1848-5f69-46c7-9cc2-23dbcb8884ef,Paul Broadbent,https://play-lh.googleusercontent.com/a-/ALV-UjVcoXAtRfnwxLFZpBgEGCuCSaol-SNaYNTS8JbxLSS9nbp3vg5-Sw,"Really impressed guys, simple and straight to the point!",5,0,1.4.4,2023-07-18 16:28:30,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9988608360290527}]",POSITIVE,0.9988608360290527
0ef0a72c-0287-491d-b7dd-c520d9cfe09a,Roger Kief,https://play-lh.googleusercontent.com/a-/ALV-UjVcrI7EiP9Od6xdhrWvCtCaWcEGRR9fRP3Z_HgmqtS2U8KwLHMh5A,"A very good series, just do not have enough time.",5,0,1.4.4,2023-07-18 08:13:58,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9983450174331665}]",POSITIVE,0.9983450174331665
116bcdf1-2d96-4b93-a1fa-814c3f711036,Teitei Para,https://play-lh.googleusercontent.com/a-/ALV-UjVR7rUw3H700CdDo0yuA5st-VXAmbaWk4rXZLPoPAGsernLXo4A,Very good 👍,5,0,1.4.4,2023-07-12 17:41:27,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9986938834190369}]",POSITIVE,0.9986938834190369
0c5aaaa5-ed9a-45c9-b3d8-4b2a0ad06ee9,Rahil,https://play-lh.googleusercontent.com/a-/ALV-UjXpaAeG5BN1E7d5WAJyw6ZrmhA6RtsOoUxeaUlMl1ZbXZv8gGAm,So cool,5,0,1.4.4,2023-07-06 15:35:11,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9977915287017822}]",POSITIVE,0.9977915287017822
a765a049-833d-4b8c-9de8-680f3ed0291b,Liviu Cozac,https://play-lh.googleusercontent.com/a/ACg8ocIT-tC9sNpI8VilQ8S_NhG5X0zZGA3hGbe1sMSUtzzpCbIotA=mo,Good tool,5,0,1.4.4,2023-07-06 14:57:16,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9987748265266418}]",POSITIVE,0.9987748265266418
98489830-c94c-4e4b-935a-afc959ce6863,Astro Biological,https://play-lh.googleusercontent.com/a-/ALV-UjV5n6W8V9Nt6D9mEIIpQ59djYRwRBqD1k5jBt_ZKlZArjrooqOc,This app has been a huge help in my learning journey. Just one suggestion: could you introduce landscape mode?,5,1,1.4.4,2023-06-25 00:44:02,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9987977743148804}]",POSITIVE,0.9987977743148804
44a7ffce-82a6-498e-9e96-bbab8783f806,LALAN Kumar,https://play-lh.googleusercontent.com/a/ACg8ocIJnsUhpRqnvOK-EWKmjriYuwoZinOsmRhyN-jaILiUUy0ywg=mo,Best app for learning web development.,5,0,1.4.4,2023-06-22 09:29:59,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9987022876739502}]",POSITIVE,0.9987022876739502
09383b07-20f6-4053-9bfb-bf820190efbf,rajesh gopal,https://play-lh.googleusercontent.com/a-/ALV-UjWwHfwmBX4LwVtPFMWowdzeyFYGJcE_tUttiezVIt9HbnjUZgkThA,Great app to learn,5,0,1.4.4,2023-05-23 13:09:23,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9988417029380798}]",POSITIVE,0.9988417029380798
edcb0805-d6b4-4b21-b2f2-1695f0c50742,Zitro,https://play-lh.googleusercontent.com/a-/ALV-UjWFHTe-y6ISzquArvq_smSWVlQ3PrpImTvsm0ABrR07JlI_uBg,Great app,5,0,1.4.4,2023-05-11 04:49:43,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9987025260925293}]",POSITIVE,0.9987025260925293
fd147937-ab6b-4236-b7de-7fe94c8a9394,Onur Aydemir,https://play-lh.googleusercontent.com/a/ACg8ocL-uWCvwJ8-zVYUWV5xVALWTFd0st1C2-SGEGqh2WDACDK4rQ=mo,"I bought that app to make it a sidekick for an udemy html&css course. At final I've learned more by the app than course, and paid 1/4 of it. Great app thanks. I'll definitely consider to buy css and js apps too.",5,1,1.4.4,2023-03-30 19:58:23,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9988297820091248}]",POSITIVE,0.9988297820091248
79e14414-f0e6-4b93-90d4-5680823cdfd8,Gregorio de Moraes,https://play-lh.googleusercontent.com/a-/ALV-UjWKOevYTwihUb_1w8S2OF_hPj6HjLNJR3-zTgdDn2ZzsJDYlNhp,"I watched 100 tutorial videos, but this app is responsible for inserting HTML in my head. Thank you so much.",5,0,1.4.4,2023-03-29 04:49:11,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9986775517463684}]",POSITIVE,0.9986775517463684
c9863226-b0b4-42ad-bcbb-c41e50f3cab5,Ananda Lal Tongchangya,https://play-lh.googleusercontent.com/a-/ALV-UjXA246mwHLBUe5QQz-oqg6AVb77p3oCJIn0tczgrcGYe-XUHWnO,I had a great time ever with the free version app due to that I just started the pro version.....let's hope it must be super exciting for learning HTML coding,5,1,1.4.4,2023-03-24 20:53:27,,,1.4.4,"[{'label': 'POSITIVE', 'score': 0.9985254406929016}]",POSITIVE,0.9985254406929016
